------------->第1类：学院		<-------------
华中科技大学	华中科技大学发展规划研究室	[发展规划研究通讯]2008年第二期 华中科技大学大事记（2000.5－2008.5） 2008-7-2 [发展规划研究通讯]2008年第一期 电气学院近年来的变化令人振奋 2008-7-2 ...
华中科技大学	华中科技大学 - 考研论坛	华中科技大学相关链接：华中科技大学主页 | 华中科技大学研究生院 | 华中科技大学研究生招生信息网 | 华中科技大学考研网 | 华中科技大学考研资料下载 | 华中科技...
华中科技大学	深圳华中科技大学研究院	提供华中科技大学介绍、研究院介绍、人才培养、科技成果及学术交流等信息。
华中科技大学	研究生院--华中科技大学	华中科技大学研究生院。
华中科技大学	华中科技大学考研论坛 华中科技大学考研bbs |华中科技大学bbs|华...	华中科技大学考研论坛 华中科技大学考研论坛 华中科技大学考研网,华中科技大学考研论坛由华中科技大学在读研究生创办,提供华中科技大学考研的第一手资讯,免费提供华中科技...
华中科技大学	华中科技大学研究生院|华中科技大学考研网|华中科技大学研究生招...	华中科技大学研究生院,华中科技大学考研网,华中科技大学研究生招生信息,华中科技大学概况、招生信息、考研分数线及华中科技大学2009年考研试题,考研大纲,考研复试试题,考...
华中科技大学	华中科技大学软件学院	华中科技大学软件学院学生工程实践（含毕业设  华中科技大学软件学院软件工程硕士工程实践与  华中科技大学软件学院研究生教务工作流程  软件学院2010-2011学年第一...
华中科技大学	华中科技大学 - 湖北院校 - 研友网|研究生论坛 研友|考研论坛|...	华中科技大学 研友网|研究生论坛 研友网www.iyanyou.com是专一的考研与在研朋友交流交友平台，结合了考研论坛及研究生论坛，提供找研友、研友之家等服务，及时的...
华中科技大学	华中科技大学新闻与信息传播学院	华中科技大学少年新闻学院招生简章 [2010-06-29]  博士毕业生与导师依依惜别 [2010-06-29]  关于通过HUB系统开展2011年研究生导师聘任上岗的通知 [2010-06-28...
华中科技大学	国产RFID力促东莞抢先发力物联网装备制造	东莞华中科技大学制造工程研究院(简称工研院)创建于2007年5月,是由东莞市人民政府、广东省科学技术厅和华中科技大学 合作 共建的一个科技创新、技术服务、产业孵化平台,旨在推动区域创新体系建设,提升广东省制造业的技术创新能力和综合竞争力,促进产业结构调整和升级。  ...
华中科技大学	国产RFID助力东莞抢占物联网装备制造先机	东莞华中科技大学制造工程研究院(简称工研院)创建于2007年5月,是由东莞市人民政府、广东省科学技术厅和华中科技大学合作共建的一个科技创新、技术服务、产业孵化平台,旨在推动区域创新体系建设,提升广东省制造业的技术创新能力和综合竞争力,促进产业结构调整和升级。  推进国家级研究成果工程化应用,...
华中科技大学	星网锐捷与华中科技大学签订战略合作协议	此次,星网锐捷与华中科技大学签订战略合作协议,双方将致力于在网络、通信、终端等几个主要发展领域强强联手,通过在基础研究、人才培养、新产品研发、关键技术攻关、成果转让、项目的规划和关键技术论证等方面的密切合作,形成一个新的创新动力源,加快科研成果的转化和产业化进程,实现双方共赢。  ...
华中科技大学	第四届全国研究生生物能及生物基产品研讨会总结报告	由中国可再生能源学会生物质能专业委员会、中国农村能源行业协会生物能转换技术专业委员会、华中科技大学联合主办的第四届全国研究生生物能及生物基产品研讨会于2010年5月10～11日在华中科技大学召开。  本次大会邀请了湖北省能源办公室主任吴祝时,湖北省能源办公室副主任陈火时,...
华中科技大学	武汉携手华中科技大学共建新能源产业基地	新华网武汉6月25日专电(记者戴劲松、赵朝文)随着武汉新能源研究院近日揭牌,武汉市政府携手华中科技大学致力打造新能源产业基地的战略计划正式启幕,这也是双方继共建光电子产业基地之后又一次重要合作。  针对当前新能源科技革命蓬勃兴起的势头,...
华中科技大学	华中科技大学2011年硕士研究生招生简章	新浪教育讯 华中科技大学2011年硕士研究生招生简章公布,各学院简章陆续更新中。  011 数学与统计学院.doc
华中科技大学	浙大排名挑战清华北大	对照8至12名的5所大学,最高分华中科技大学仅领先最低分中山大学3.92%,领先幅度很小。在3.92%的差距空间里,密集排列着5所研究型大学。而一所大学在一年的时间里综合实力上升或下降3.92%,在任何大学都是可能的。...
华中科技大学	湖北 把创新写在发展的旗帜上	公司采用机动灵活的用人机制,建立多样化研发平台,不仅成立了湖北能一郎新能源研究院,还聘请电动汽车动力电池专家雷如清任院长,并计划在清华大学、天津大学、华中科技大学等高校成立分院,华中科技大学等高校还在公司设立了博士后流动站。...
华中科技大学	单身母亲打零工供出两个大学生	■小女儿杨杰考取华中科技大学  杨昆接到研究生录取通知书,母女三人欣喜不已  核心提示:  黔东南州天柱县一位单身母亲,十年含辛茹苦,靠摆地摊、当洗碗工、编织草鞋供两个女儿读书。今年,...
华中科技大学	华中科技大学2011年推免硕士生说明	华中科技大学2011年推免硕士生说明公布。  一、申请条件  申请推免生应获得本科所在学校的推荐免试生资格。  二、申请材料和程序  1、申请人在“华中科技大学研究生招生网”(http://www.hustzs.cn)上下载《 华中科技大学2011年接收推荐免试攻读硕士学位研究生申请表.doc 》。  ...
华中科技大学	湖北 把创新写在发展的旗帜上	公司采用机动灵活的用人机制,建立多样化研发平台,不仅成立了湖北能一郎新能源研究院,还聘请电动汽车动力电池专家雷如清任院长,并计划在清华大学、天津大学、华中科技大学等高校成立分院,华中科技大学等高校还在公司设立了博士后流动站。人才集聚带来科研攻关“单刀直入”,...
华中科技大学	华中科技大学2011年接收推免生攻读硕士说明	华中科技大学同济医学院各院系所的联系方式:武汉市航空路  13号XXX院系所,邮编:430030),研招办联系电话:027-87541746。  ①《华中科技大学2011年接收推荐免试攻读硕士学位和直接攻读博士学位研究生申请表》一份,并由本科所在学校或院系教务部门加盖公章。  ②本科正式成绩单一份,...
华中科技大学	华中科大实验室落户龙岗工业区	据深圳华中科技大学研究院院长陈吉红介绍,成立特种材料应用开发实验室的目的,就是要在华中科技大学材料成型与模具技术国家重点实验室的技术支撑下,集约深圳华中科技大学研究院和各参与共建的行业领先企业的技术力量,共同打造一个代表国内领先水平的特种材料应用技术研究的产学研平台,...
华中科技大学	太阳鸟坚持完善以研发中心为主体的技术创新体系	华中科技大学:通过应用玄武岩纤维等绿色环保材料,多种能源综合开发、油料循环引用、推进系统及优化配置、环保成型工艺等进行研究,对节能对环保的作用以及新型船艇综合性能进行研究,开发节能环保型、高性能、智能化的新型复合材料船艇。  ...
华中科技大学	华中科技大学管理学院EMBA教育及高级管理培训中心	华中科技大学 管理学院主页 多伦多大学 世界经理人 ┼ 地址:湖北武汉洪山区珞瑜路1037号华中科技大学管理学院逸夫科技南楼508室 邮编: 430074 电话: 027-87543354 ...
华中科技大学	华中科技大学图书馆	含图书馆简介、馆藏资源、读者服务、数字图书馆。
华中科技大学	华中科技大学图书馆医学分馆	华中科技大学医学图书馆...华中科技大学 华中科技大学图书馆 华中科技大学同济医学院 国内大学 版权@华中科技大学图书馆医学分馆 地址：航空路13号 2008年1月1日更新...
华中科技大学	华中科技大学学报编辑部	华中科技大学 中国科技期刊编辑学会 华科大学报(医学版) 华科大学报(社会科学版) 华科大学报(城市科学版) 华中科技大学图书馆 Copyright  2006 All rights reserved. ...
华中科技大学	华中科技大学管理学院	含学院介绍、学科设置、学生工作、各种学位教育、以及网上图书馆等。
华中科技大学	华中科技大学武昌分校图书馆---欢迎您的到来！	湖北省部分高校科技文献共享平台 04月03日试用数据库  《美国科学院院报》（PNAS）外文数据库 05月20日 核心期刊网络信息服务系统 05月11日 清华紫光“6+1”...
华中科技大学	华中科技大学精品课程	2010年华中科技大学学校政策 2010年精品课程申报汇总表 2010年精品课程申报表 2010年精品课程评审及意见反 ... 版权所有：华中科技大学 技术支持：武汉高德信息产业有限公司
华中科技大学	华中科技大学出版社有限责任公司	新华书目报：《WCF技术内幕》 10-08-18  新华书目报：《海量网络存储系统原理与设计》 10-08-18  关于组织申报普通高等教育“十二五”规划教材的... 10-08-...
华中科技大学	华中科技大学武昌分校	[中国教育报]华中科大武昌分校多措施奖励赴基层就业毕业生  [湖北日报]华中科技大学武昌分校掠影  [武汉晚报]华中科技大学武昌分校掠影  [武汉晚报]华中科技大学...
华中科技大学	华中科技大学远程与继续教育学院	华中科技大学“立德特训营”招生简章  华中科技大学进出口贸易职业经理人培训招生简章 电话 027-87792347 027-87792640 教学简报第十一期  教学简报第十期  教学...
华中科技大学	华中科技大学文华学院 工人撑“船”渡师生	昨日凌晨,华中科技大学文华学院大门口严重渍水,该校大门一度难以通行,附近工人师傅架起浮板撑“船”渡人。 (荆楚网—楚天金报 邹斌、刘蔚丹)
华中科技大学	图文:全国7万考生角逐湖北“省考”	图为:中科技大学考点人气很旺  文/本报记者丁玥 实习生谢方 陈璐 图/本报记者万多 实习生吴琼华  ...如此多的人一下子涌进华中科技大学,吃饭和休息都成了大问题。  不少考生埋怨,“附近旅店大多满了,一些旅店还坐地起价!”...
华中科技大学	湖北华中科技大学VAT真空阀采购公告	业主单位:华中科技大学实验室与设备管理处  报名截止:2010-07-27  所属地区:湖北  申购单基本信息:  单据编号-2010072000015-设备类型-仪器仪表  竞价名称-VAT真空 阀  币种-人民币(元)-是否公开信息-是  申购人-欧阳钟文-申购人电话-13720303372;027-87792334转8112  ...
华中科技大学	武汉“玻璃男孩”被华中科技大学录取	通讯员巩平报道:昨日,记者从省实验中学获悉,该校身残志坚的“玻璃男孩”熊路(本报曾多次报道),以理科601分的成绩被华中科技大学录取,学习软件工程专业。省招办表示,目前还没有出现因残疾被退档的考生。  记者从省招办了解到,今年省残联共向省招办提供了300多名残疾考生名单。省招办表示,...
华中科技大学	最关心如何填报志愿	对这位王姓考生家长的问题,华中科技大学的耿老师分析说,这个分数对于报考华中科技大学有一定的希望,但需要“冲一冲”。也就是说,河北省实行平行志愿填报方式,那么这位考生如果非常愿意报考该校,就选择A志愿,但同时为了保证录取,在剩下的4个志愿中,一定要有2个“保底”的学校,以免因分数不够,...
华中科技大学	华中科技大学:鼓励600分以上同学报考	华中科技大学:从目前掌握的情况看,和对最近几年的情况分析,我们鼓励在600分以上的同学报考华中科技大学,能够填报我们学校,我们欢迎大家!  因为今年是陕西第一年知分填志愿,实行平行志愿,我们也是跟大家共同摸索怎么填报志愿,帮助学生和家长选好自己的学校,...
华中科技大学	华中科大走出高校“主帅群”	本报讯(见习记者朱建华实习生陈乃正朱芮)昨日,华中科技大学的一名毕业生在博客上撰文,对半个月内多名校友出任大学“主帅”的现象表示关注。  6月10日,在国家部委工作多年的高级工程师陈小筑,从京赴西安出任西北工业大学书记(副部长级)。...
华中科技大学	《鄂商》:光谷“成绩单”	由于光谷靠近华中科技大学等名牌大学,所以在人才方面是近水楼台先得月,同时,国家为了进一步加强光谷的人才力量,鼓励企业自主创新,政府采取了一系列奖励措施,如引进一个博士,政府每月补贴1000元;专利申报,政府补贴;达到国际标准,政府奖励100万元;达到国家标准,政府奖励50万元等等。  “尊重知识,...
华中科技大学	第六届全国制冷空调学科发展与教学研讨会召开	暖通空调在线报道: 7月31日,几百位来自全国各地的制冷空调的名师相聚武汉的华中科技大学,参加第六届全国制冷空调学科发展与教学制冷空调新技术研讨会。研讨会有中国制冷学会、上海交通大学主办,华中科技大学与湖北省制冷学会共同承办。本次研讨会为期3天,...
华中科技大学	&quot;根叔&quot;走红 华中科技大学分数线大涨	华中科技大学获悉,今年华科大的 分数线大涨。去年,华中科技大学高出一本线50分以上的省份有15个,而今年理科录取线高出当地一本线50分以上的省份累计有23个。华科大表示,今年“普通本科招生形势喜人,考生报考华中科技大学积极踊跃,各 生源爆满,生源质量继续提高。”  据了解,...
华中科技大学	第六届全国制冷空调新技术研讨会在武汉召开	暖通空调在线报道: 8月1日,第六届全国制冷空调新技术研讨会在华中科技大学隆重召开,来自全国高校制冷空调学科的学术带头人、学生、制冷学会、知名的设计院、制冷空调企业、行业媒体等几百名代表齐聚武汉的华中科技大学,共商制冷空调新技术发展的大计。...
华中科技大学	华中电网“精英促进”计划资助25名学生名	杨梦雪 松滋 中南民族大学  周天晴 武汉 中南财经政法大学  华佳纯 武汉 武汉工程大学  张琛 鄂州 华中科技大学  肖生强 黄陂 华中科技大学  董进诚 麻城 重庆大学  余帆 仙桃 中国石油大学  王红静 鄂州 武汉理工大学  (每人将获4000元资助) 荆楚网-楚天都市报 )
华中科技大学	武汉中元华电科技股份有限公司2010年半年度报告摘要	中国湖北武汉东湖新技术开发区华中科技大学科技园六路6号 电话 027-87180718 027-87180718 传真 027-87180719 027-87180719 电子信箱 stock@zyhd.com.cn stock@zyhd.com.cn  2.3 主要财务数据和指标  2.3.1 主要会计数据  单位:元  项目 报告期 上年同期 本报告期比上年同期增减 ...
华中科技大学	华中科大经验	本报讯(记者朱建华 实习生周恋芹 张伟峰)昨日获悉,中央创先争优活动领导小组办公室日前印发简报,专门推荐华中科技大学在学生党建方面的工作经验。中共中央政治局委员、中央书记处书记、中组部部长李源潮做出批示:“华中科大的系列党建活动很好。”  据悉,华中科大围绕加强学生党建工作,创新党建工作的内容和形式,...
华中科技大学	华中科技大学实验室与设备管理处欢迎您！	含管理系统,机构设置,管理职能,规章制度等内容。

------------->第5类：凤凰	人民网	网易	新浪	.com	网		<-------------
华中科技大学	华中科技大学2010年高考录取结果查询系统开通	人民网教育讯 华中科技大学2010年高考录取结果查询系统开通,
华中科技大学	华中科技大学2011年硕士研究生招生简章	新浪教育讯 华中科技大学2011年硕士研究生招生简章公布,各学院简章陆续更新中。  011 数学与统计学院.doc
华中科技大学	华中科技大学 - 湖北院校 - 研友网|研究生论坛 研友|考研论坛|...	华中科技大学 研友网|研究生论坛 研友网www.iyanyou.com是专一的考研与在研朋友交流交友平台，结合了考研论坛及研究生论坛，提供找研友、研友之家等服务，及时的...
华中科技大学	三本院校一志愿投档情况公布	华中科技大学文华学院投档最低分为450分。华中科技大学武昌分校投档最低分为475分。四川大学锦城学院投档最低分为450分。武汉大学东湖分校投档最低分为458分。  各院校一志愿详细投档情况,考生及家长可登录省招考中心网站(http://www.gzszk.com)查询。  另外,昨日,...
华中科技大学	武汉中元华电科技股份有限公司2010年半年度报告摘要	中国湖北武汉东湖新技术开发区华中科技大学科技园六路6号 电话 027-87180718 027-87180718 传真 027-87180719 027-87180719 电子信箱 stock@zyhd.com.cn stock@zyhd.com.cn  2.3 主要财务数据和指标  2.3.1 主要会计数据  单位:元  项目 报告期 上年同期 本报告期比上年同期增减 ...
华中科技大学	华中科技大学 图像所	华中科技大学 研究生就业网 研究生招生信息网 喻园晨光 华中地区网络中心 白云黄鹤 虹软 中国OCR信息网
华中科技大学	华中科技大学电气与电子工程学院	华中科技大学电气与电子工程学院网站 ... 四川大学电气信息学院雷勇副院长一行来院交 李培根校长到电气学院考察调研 “亚狮龙”杯羽毛球赛电气学院喜获亚军
华中科技大学	华中科技大学网络中心	华中科技大学电子邮件服务使用公约 10.01.04  华中科技大学主校区学生宿舍计算机网络管理条例（. 05.03.21  中国教育和科研计算机网用户守则(试行) 05.03.21 ...
华中科技大学	华中科技大学武昌分校图书馆---欢迎您的到来！	湖北省部分高校科技文献共享平台 04月03日试用数据库  《美国科学院院报》（PNAS）外文数据库 05月20日 核心期刊网络信息服务系统 05月11日 清华紫光“6+1”...
华中科技大学	华中科技大学考研网_考研院校_跨考教育	华中科技大学考研网是由跨考教育提供的华中科技大学考研信息，华中科技大学考研辅导，华中科技大学考研招生简章等，并免费提供华中科技大学考研历年来考研真题，欢迎大家咨...
华中科技大学	2008年华中科技大学考研复试分数线基本要求	2008年3月18日...各院（系、所）复试细则和复试名单将于近期公布，请各位考生关注各院（系、所）网站和华中科技大学研招网。热点关注  复试调剂 专业学位 考试大纲 ...
华中科技大学	华中科技大学 - 考研论坛	华中科技大学相关链接：华中科技大学主页 | 华中科技大学研究生院 | 华中科技大学研究生招生信息网 | 华中科技大学考研网 | 华中科技大学考研资料下载 | 华中科技...
华中科技大学	华中大在线-华中科技大学门户网站	华中科技大学门户网站。
华中科技大学	欢迎光临白云黄鹤BBS站	武汉白云黄鹤站,华中地区网络中心,BBS
华中科技大学	华中科技大学出版社有限责任公司	新华书目报：《WCF技术内幕》 10-08-18  新华书目报：《海量网络存储系统原理与设计》 10-08-18  关于组织申报普通高等教育“十二五”规划教材的... 10-08-...
华中科技大学	华中科技大学管理学院	含学院介绍、学科设置、学生工作、各种学位教育、以及网上图书馆等。
华中科技大学	华中科技大学_论坛_华科论坛_华中科技大学武昌分校_BBS	华中科技大学学子打造的非官方网站-论坛，定位为打造为校友更好服务的公益交流平台！华中科技大学武昌分校是教育部于2000年批准成立的本科层次的全日制普通高等学校，是...
华中科技大学	华中科技大学文华学院 -- 首页	华中科技大学文华学院官方网站,是华中科技大学文华学院党委宣传部主办。
华中科技大学	华中科技大学考研论坛 华中科技大学考研bbs |华中科技大学bbs|华...	华中科技大学考研论坛 华中科技大学考研论坛 华中科技大学考研网,华中科技大学考研论坛由华中科技大学在读研究生创办,提供华中科技大学考研的第一手资讯,免费提供华中科技...
华中科技大学	华中科技大学社团网 - 华中科技大学社团网	华中科技大学社团网是华中科技大学社团门户网站。由华中科技大学社团联合会创建、管理，为全校102个校级学生社团及其会员提供新闻资讯、网上办公、活动发布等功能的社团综...
华中科技大学	华中科技大学研究生院|华中科技大学考研网|华中科技大学研究生招...	华中科技大学研究生院,华中科技大学考研网,华中科技大学研究生招生信息,华中科技大学概况、招生信息、考研分数线及华中科技大学2009年考研试题,考研大纲,考研复试试题,考...
华中科技大学	欢迎来到华中科技大学学工在线首页	是华中科技大学学生工作处的网站,解决助学金,招生等问题的网站。
华中科技大学	华中科技大学法学院	介绍该院最新消息与新闻,同时为华中大法律网站。
华中科技大学	华中科技大学外国语学院	华中科技大学外国语学院网站—外国语学院师生信息交流的平台
华中科技大学	华中科技大学综合信息网(内部网 e.hust.edu.cn)	华中科技大学综合信息网(内部网)
华中科技大学	华中科技大学文华学院 工人撑“船”渡师生	昨日凌晨,华中科技大学文华学院大门口严重渍水,该校大门一度难以通行,附近工人师傅架起浮板撑“船”渡人。 (荆楚网—楚天金报 邹斌、刘蔚丹)
华中科技大学	在华中科技大学今年本科生毕业典礼上,“根叔”充满清新 ...	在华中科技大学今年本科生毕业典礼上,“根叔”充满清新气息的演讲,在网络上引发热议,受到众多追捧,“大火了一把”。记者采访中却发现,...
华中科技大学	这5年,根叔和他的学校	6月23日,在华中科技大学2010届本科生毕业典礼上,李培根的演讲《记忆》打动了无数学子的心,并在网上引起热烈讨论。  “你或许记得向喜欢的女孩表白被拒时内心的煎熬”。  华中科技大学毕业生郑娟记得,...
华中科技大学	华中科技大学网站称李培根连任该校校长	本报讯(记者 朱建华)华中科技大学21日在该校网站上发布消息,李培根继续担任校长。  21日,该校接到了国务院《关于李培根任职的通知》(国人字[2010]59号)的文件,具体内容为:国务院2010年7月10日决定,李培根继续担任华中科技大学校长。  生于1948年的李培根,...
华中科技大学	院士“根叔”连任华中科大校长	(记者陈博雷 实习生陈祥华 李文静)前日晚,华中科大新闻网发布消息:国务院7月10日决定,李培根继续担任华中科技大学校长(副部级)。  昨晚,记者拨通李培根的电话祝贺其连任,李培根连声道谢。他表示,刚从外地返汉,他将一如既往地关心学生,将学校工作做好。  记者在华中科大校园论坛上看到,...
华中科技大学	星网锐捷与华中科技大学签订战略合作协议	此次,星网锐捷与华中科技大学签订战略合作协议,双方将致力于在网络、通信、终端等几个主要发展领域强强联手,通过在基础研究、人才培养、新产品研发、关键技术攻关、成果转让、项目的规划和关键技术论证等方面的密切合作,形成一个新的创新动力源,加快科研成果的转化和产业化进程,实现双方共赢。  ...
华中科技大学	话题:华中科技大学校长毕业典礼演讲引发7700余学子起立 ...	话题:华中科技大学校长毕业典礼演讲引发7700余学子起立高呼  网友发言  校长李培根院士16分钟的演讲,被掌声打断30次。全场7700余名学子起立高喊:“根叔!根叔!”——说实话,我只看演讲稿都被感动了。  网友:惊鸿一瞥  “什么是母校?...
华中科技大学	武汉携手华中科技大学共建新能源产业基地	新华网武汉6月25日专电(记者戴劲松、赵朝文)随着武汉新能源研究院近日揭牌,武汉市政府携手华中科技大学致力打造新能源产业基地的战略计划正式启幕,这也是双方继共建光电子产业基地之后又一次重要合作。  针对当前新能源科技革命蓬勃兴起的势头,...
华中科技大学	华中科技大学校长李培根考察郑煤机	华中科技大学校长李培根考察郑煤机  中原网讯(通讯员 连晨辉) 7月10日,华中科技大学校长李培根院士一行到郑煤机考察,郑煤机董事长焦承尧、副总经理、总工程师高有进在外办会议室热情接待了客人一行。
华中科技大学	华中科技大学2011年推免硕士生说明	华中科技大学2011年推免硕士生说明公布。  一、申请条件  申请推免生应获得本科所在学校的推荐免试生资格。  二、申请材料和程序  1、申请人在“华中科技大学研究生招生网”(http://www.hustzs.cn)上下载《 华中科技大学2011年接收推荐免试攻读硕士学位研究生申请表.doc 》。  ...
华中科技大学	与名校比邻而居 鲁巷片学区房均价6700元/平起	周边学校:华工幼儿园、华中科技大学、中国地质大学、中南财经政法大学、中南民族大学等);华师一附中、华工附中、关山中学、华工附小、光谷第一小学  项目地址:东湖开发区光谷广场东光谷步行街上 [ 楼盘介绍 ]  亿房网为您提供的售楼部电话:87808888  新都汇 最新均价:8500 元/平方米  ...
华中科技大学	华中科大拟办暑期少年新闻学院	...并通过一天的新闻采写实训课提高学生的新闻实践能力。  “少年新闻学院”得到了武汉晚报的鼎力支持。该报将对“少年新闻学院”学员采写的新闻稿件择优刊登。  据介绍,华中科技大学“少年新闻学院”报名截止时间为7月8日,开课时间为7月15日。详情刊登在华中科技大学新闻学院网站。
华中科技大学	教育部任命华中科技大学八位新副校长	·给华中科技大学校长留言  北京7月27日电(记者 李婧)今天,记者从 网站获悉,近日 华中科技大学八位新任副 接受 任命。其中两位是常务副校长。  教育部发出通知表示,经研究决定,任命林萍华、丁汉初为华中科技大学常务副校长(正厅级),...
华中科技大学	华中科技大学暑期实践队向都昌县太阳村捐款1000元	中国江西新闻网7月28日都昌讯( 袁奇 邱辉强 报道)28日,江西都昌县太阳村迎来了华中科技大学材料科学与工程学院参加暑期社会实践的10名师生,实践队员将平时积攒下来的学院补助1000元爱心款,捐赠给了太阳村。  当日,实践队员们与太阳村的孩子们在食堂里共进午餐,...
华中科技大学	华中电网“精英促进”计划资助25名学生名	杨梦雪 松滋 中南民族大学  周天晴 武汉 中南财经政法大学  华佳纯 武汉 武汉工程大学  张琛 鄂州 华中科技大学  肖生强 黄陂 华中科技大学  董进诚 麻城 重庆大学  余帆 仙桃 中国石油大学  王红静 鄂州 武汉理工大学  (每人将获4000元资助) 荆楚网-楚天都市报 )
华中科技大学	华中科技大学本科生就业信息网	华中科技大学大学生就业信息网 首页 最新动态 通知公告 招聘信息 招聘信息...?版权所有:华中科技大学就业指导中心 Tel:027-87542328 Fax:027-87543914 Mail:job@mail.hust.edu.cn...
华中科技大学	欢迎来到华中科技大学人事处	华中科技大学 华中科技大学人才招聘网...华中科技大学中欧清洁与可再生能源学院(筹)招聘 电子科学与技术系招聘启事 国际教育学院招聘启事...校人【2007】38号关于印发《华中科技大学返聘人员管理办法》的通知...
华中科技大学	华中科技大学计算机科学与技术学院	华中科技大学计算机学院下设计算机科学与工程系、计算机科学系、计算机科学与应用系和信息安全系等四个系。网站包括计算机学院概况、学院附属单位、学科建设等内容。
华中科技大学	华中科技大学远程与继续教育学院	华中科技大学远程与继续教育学院是2005年7月由原华中科技大学网络教育学院、继续教育学院、同济医学院成教部合并组建而成的新型学院。网站包括教学管理、远程技术、学工动态等。

------------->第6类：|	专题	_	...		<-------------
华中科技大学	华中科技大学 - 考研论坛	华中科技大学相关链接：华中科技大学主页 | 华中科技大学研究生院 | 华中科技大学研究生招生信息网 | 华中科技大学考研网 | 华中科技大学考研资料下载 | 华中科技...
华中科技大学	华中科技大学 - 湖北院校 - 研友网|研究生论坛 研友|考研论坛|...	华中科技大学 研友网|研究生论坛 研友网www.iyanyou.com是专一的考研与在研朋友交流交友平台，结合了考研论坛及研究生论坛，提供找研友、研友之家等服务，及时的...
华中科技大学	华中科技大学往年录取分数表-中国教育在线	研招咨询 高职高专 高考招生 公务员 软件学院 远程教育 专题汇总 大学导航 在线...华中科技大学2002年录取情况统计表 华中科技大学在湖北省理科最低录取分数确定...
华中科技大学	华中科技大学	学校办公室 、 学校发展规划研究室 、 保密委员会办公室 负责党委、行政系统的公文处理；校内外协调和接待工作；校友联络；信息化建设与统计；信访；学校发展规划研究；学校领导交办 ... 产业集团 管理学校和各院、系办的科技产业；有关国有 ...
华中科技大学	华中科技大学精品课程	2010年华中科技大学学校政策 2010年精品课程申报汇总表 2010年精品课程申报表 2010年精品课程评审及意见反 ... 版权所有：华中科技大学 技术支持：武汉高德信息产业有限公司
华中科技大学	华中科技大学电气与电子工程学院	华中科技大学电气与电子工程学院网站 ... 四川大学电气信息学院雷勇副院长一行来院交 李培根校长到电气学院考察调研 “亚狮龙”杯羽毛球赛电气学院喜获亚军
华中科技大学	病理生理学 - 202.114.128.246	课 程 简 介. 病理生理学（Pathophysiology）主要任务是研究疾病的病因、发病机制和患病机体的代谢和机能变化，为疾病的防治提供理论和实验依据，是医学教学中的一门 ...
华中科技大学	华中科技大学--人民网教育频道中国最权威教育网站--人民网	华中科技大学是国家教育部直属的全国重点大学，由原华中理工大学、原同济医科大学、原武汉城市建设学院和科技部干部管理学院于2000年5月26日合并成立。 ...
华中科技大学	学工在线	共青团华中科技大学委员会：是我校先进青年的群众组织，主要负责全校青年师生团员的 ... 湖北省武汉市洪山区珞瑜路1037号华中科技大学430074 学生工作部（处）、团委、 ...
华中科技大学	华中科技大学首页_中国高校信息查询系统_腾讯高考频道	请大家比较:华中科技大学,华南理工大学,东南大.. 5. 江西文科考生418能上华中科技大学的专科吗? 1. 中国科技大学和华中科技大学哪个更好啊, 1. 华中科技大学PK西安交通 ...
华中科技大学	华中科技大学_新浪院校库_新浪教育_新浪网	华中科技大学是国家教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院于2000年5月26日合并成立，是首批列入国家“211工程”重点建设和“985 ...
华中科技大学	院校简介-华中科技大学	2010年5月6日 ... 华中科技大学是教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院合并而成。是涵盖理、工、医、文、管等多学科的综合性 ...
华中科技大学	【华中科技大学武昌分校|华中科技大学武昌分校分数线|华中科技大...	华中科技大学武昌分校频道,是58同城免费为您提供华中科技大学武昌分校相关信息及服务。包括华中科技大学武昌分校综合信息介绍，招生简章，收费标准，专业介绍，大学图片，...
华中科技大学	华中科技大学人才招聘网	华中科技大学是国家教育部直属的全国重点大学，由原华中理工大学、同济医科大学、武汉城市建设学院合并成立，是首批列入国家“211工程”重点建设和“985工程”建设的...
华中科技大学	“根叔” “记忆” “华中科技大学” “李培根” “毕业致辞” ...	[猫扑社会] 近日，华中科技大学校长李培根院士在该校毕业典礼上的一篇致辞《记忆》感动全国，7000余名毕业生齐声高喊根叔！的场景直撼人心。昨日，李培根在百忙之中...
华中科技大学	华中科技大学学校办公室	《华中科技大学年鉴》是全面反映学校基本情况及各项建设事业改革与发展的史料性文献、资料，收录了历年来学校主要活动和各项工作的重要文献、文件、统计数据等资料。...
华中科技大学	华中科技大学研究生就业信息网	华中科技大学研究生就业工作管理办法 2009-2-11  毕业研究生就业指导问答 2007-1-16  2008年上海户口评分标准 2008-12-24  创业计划书写作指南 2009-6-1  ...
华中科技大学	华中科技大学本科生就业信息网	三年资教 终身财富：华中大6学子今[05-18]  2010届毕业生就业政策信息交流会... 版权所有：华中科技大学就业指导中心  Tel:027-87542328 Fax:027-87543914 Mail...
华中科技大学	华中科技大学图书馆医学分馆	华中科技大学医学图书馆...华中科技大学 华中科技大学图书馆 华中科技大学同济医学院 国内大学 版权@华中科技大学图书馆医学分馆 地址：航空路13号 2008年1月1日更新...
华中科技大学	华中科技大学化学与化工学院	华中科技大学化学与化工学院设有应用化学、化学工程两个系、一个实验教学中心和无机与化学生物学、有机与精细化工、分析科学、物化与工业催化、材料与环境化学、高分子...
